Conference,School,OC,Play Caller,Source
Atlantic Coast Conference,Boston College,Will Lawing,Bill O'Brien,https://writeforcalifornia.com/p/boston-college-football-offensive-preview-2025
Atlantic Coast Conference,California,Bryan Harsin,Bryan Harsin (assumed),
Atlantic Coast Conference,Clemson,Garrett Riley,Garrett Riley,https://www.si.com/college/clemson/football/what-clemson-next-offensive-coordinator-will-need-to-improve-on-in-2026
Atlantic Coast Conference,Duke,Jonathan Brewer,Jonathan Brewer,https://www.footballscoop.com/2025/03/03/david-cutcliffe-is-shaking-up-his-staff-at-duke-with-new-roles-and-titles
Atlantic Coast Conference,Florida State,Gus Malzahn,Gus Malzahn,https://seminoles.com/news/2026/2/2/football-malzahn-announces-retirement-harris-promoted-to-offensive-coordinator
Atlantic Coast Conference,Georgia Tech,Buster Faulkner,Buster Faulkner,https://ramblinwreck.com/inside-the-chart-catching-on/
Atlantic Coast Conference,Louisville,Brian Brohm,Brian Brohm,https://stateoflouisville.com/louisville-football-2025-outlook-jeff-brohm-cardinals/
Atlantic Coast Conference,Miami (FL),Shannon Dawson,Shannon Dawson,https://www.wruf.com/headlines/2026/02/06/from-play-calling-to-philosophy-floridas-offense-and-defense-reset/
Atlantic Coast Conference,North Carolina,Freddie Kitchens,Freddie Kitchens (assumed),
Atlantic Coast Conference,North Carolina State,Kurt Roper,Kurt Roper,https://www.si.com/college/ncstate/how-nc-state-wolfpack-offensive-line-performed-in-2025
Atlantic Coast Conference,Pittsburgh,Kade Bell,Kade Bell,https://www.yardbarker.com/college_football/players/kade_bell/169336
Atlantic Coast Conference,SMU,Casey Woods,Casey Woods,https://smumustangs.com/news/2025/4/2/football-smu-offense-focused-on-player-progression-this-spring.aspx
Atlantic Coast Conference,Stanford,MISSING,Unknown,
Atlantic Coast Conference,Syracuse,Jeff Nixon,Jeff Nixon,https://www.youtube.com/watch?v=ukuF0DF10DE
Atlantic Coast Conference,Virginia,Des Kitchings,Des Kitchings,https://writeforcalifornia.com/p/virginia-cavaliers-college-football-offensive-preview-2025
Atlantic Coast Conference,Virginia Tech,MISSING,Unknown,
Atlantic Coast Conference,Wake Forest,Rob Ezell,Rob Ezell (assumed),
Big 12 Conference,Arizona,Seth Doege,Seth Doege,https://www.youtube.com/watch?v=nn9YjLRaKBQ
Big 12 Conference,Arizona State,Marcus Arroyo,Marcus Arroyo,https://thesundevils.com/news/2025/08/26/sun-devil-football-lifts-lid-on-2025-campaign-against-northern-arizona
Big 12 Conference,BYU,Aaron Roderick,Aaron Roderick,https://www.deseret.com/sports/2025/04/07/byu-football-offense-2025-roderick-tight-ends-depth-chart-two-deep/
Big 12 Conference,Baylor,Jake Spavital,Jake Spavital,https://www.si.com/college/baylor/football/predicting-stat-lines-for-baylor-bears-offensive-playmakers-in-2025-01k2wfjt8f82
Big 12 Conference,Cincinnati,Brad Glenn,Brad Glenn (assumed),
Big 12 Conference,Colorado,Pat Shurmur,Pat Shurmur,https://www.si.com/college/colorado/football/three-big-fixes-deion-sanders-colorado-offense-julian-lewis
Big 12 Conference,Houston,Slade Nagle,Slade Nagle,https://www.texasfootball.com/article/2025/10/02/most-improved-offenses-in-2025
Big 12 Conference,Iowa State,Taylor Mouser,Taylor Mouser,https://www.si.com/college/iowa-state/football/jaylen-raynor-reveals-what-kind-of-offense-he-will-run-with-iowa-state-cyclones
Big 12 Conference,Kansas,Jim Zebrowski,Jim Zebrowski,https://kuathletics.com/news/2024/12/7/jim-zebrowski-named-kansas-football-offensive-coordinator
Big 12 Conference,Kansas State,MISSING,Unknown,
Big 12 Conference,Oklahoma State,MISSING,Unknown,
Big 12 Conference,TCU,RickerA.J. Ricker,RickerA.J. Ricker (assumed),
Big 12 Conference,Texas Tech,Mack Leftwich,Mack Leftwich,https://wreckemred.com/play-to-our-guys-strengths-leftwich-explains-texas-tech-s-offensive-approach-2025
Big 12 Conference,UCF,Steve Cooper,Steve Cooper,https://www.youtube.com/watch?v=M46d_Sh_K_w
Big 12 Conference,Utah,Jason Beck,Jason Beck,https://utahutes.com/sports/football/roster/coaches/jason-beck/4240
Big 12 Conference,West Virginia,MISSING,Unknown,
Big Ten Conference,Illinois,Barry Lunney,Barry Lunney,https://writingillini.com/illinois-football-projected-offensive-depth-chart-for-the-2025-season/5
Big Ten Conference,Indiana,Mike Shanahan,Mike Shanahan,https://www.idsnews.com/article/2025/12/indiana-football-offensive-coordinator-mike-shanahan-trust-fuels-offense
Big Ten Conference,Iowa,Greg Davis,Greg Davis,https://www.si.com/college/iowa/football/iowa-hawkeyes-offense-receives-bold-outlook-for-2025-season
Big Ten Conference,Maryland,Pep Hamilton,Pep Hamilton,https://www.youtube.com/watch?v=K3v7is-Ikug
Big Ten Conference,Michigan,Chip Lindsey,Chip Lindsey,https://www.si.com/college/michigan/football/michigan-names-interim-offensive-coordinator-after-chip-lindsey-leaves-for-missouri
Big Ten Conference,Michigan State,Brian Lindgren,Brian Lindgren,https://www.si.com/college/michiganstate/msu-spartans-football-jonathan-smith-hondo-carpenter-tom-izzo-michigan-wolverines-aidan-chiles-brian-lindgren-
Big Ten Conference,Minnesota,Matt Simon,Matt Simon (assumed),
Big Ten Conference,Nebraska,Dana Holgorsen,Dana Holgorsen,https://www.si.com/college/nebraska/football/how-nebraska-s-offense-flipped-the-script-in-2025
Big Ten Conference,Northwestern,Zach Lujan,Zach Lujan,https://www.leathernecknation.net/forum/viewtopic.php?t=3518
Big Ten Conference,Ohio State,Brian Hartline,Brian Hartline,https://www.landgrantholyland.com/ohio-state-football/112274/three-way-too-early-predictions-for-ohio-states-offense-under-arthur-smith
Big Ten Conference,Oregon,MISSING,Unknown,
Big Ten Conference,Penn State,Andy Kotelnicki,Andy Kotelnicki,https://www.statecollege.com/articles/penn-state-football/get-to-know-new-penn-state-offensive-coordinator-taylor-mouser/
Big Ten Conference,Purdue,Josh Henson,Josh Henson,https://www.offtacklerepublic.com/purdue-boilermakers-2025-football-offensive-preview/
Big Ten Conference,Rutgers,Kirk Ciarrocca,Kirk Ciarrocca,https://www.youtube.com/watch?v=5F8VCXOF0Vc
Big Ten Conference,UCLA,MISSING,Unknown,
Big Ten Conference,USC,Josh Henson,Lincoln Riley,https://coachkoufootball.substack.com/p/2025-usc-offense-lincoln-riley-screen
Big Ten Conference,Washington,Jimmie Dougherty,Jedd Fisch,https://www.youtube.com/watch?v=qj9PHtSAjI8
Big Ten Conference,Wisconsin,Jeff Grimes,Jeff Grimes,https://www.si.com/college/wisconsin/football/badgers-new-offensive-approach-late-season-turnaround-carter-smith-luke-fickell
Southeastern Conference,Alabama,Ryan Grubb,Ryan Grubb,https://www.youtube.com/watch?v=-Pho-AXYjvM
Southeastern Conference,Arkansas,Kolby Smith,Kolby Smith,https://www.youtube.com/watch?v=jRs0ubGsdQI
Southeastern Conference,Auburn,Derrick Nix,Derrick Nix,https://www.si.com/college/auburn/football/who-will-call-plays-for-auburn-s-offense-in-2026-01kgpg6nj1cb
Southeastern Conference,Florida,Russ Callaway,Russ Callaway,https://www.si.com/college/florida/football/gonzales-names-play-caller-details-gators-offensive-changes-01k81g6hk1tv
Southeastern Conference,Georgia,Mike Bobo,Mike Bobo,https://www.youtube.com/watch?v=OLoWOqcU0Sk
Southeastern Conference,Kentucky,Bush Hamdan,Bush Hamdan,https://kykernel.com/119035/sports/column-kentucky-has-a-bright-future-on-offense-despite-lackluster-2025-season/
Southeastern Conference,LSU,Joe Sloan,Joe Sloan,https://tdalabamamag.com/2025/10/27/lsu-set-to-have-new-offensive-play-caller-debut-against-alabama-after-firing-brian-kelly/
Southeastern Conference,Mississippi State,MISSING,Unknown,
Southeastern Conference,Missouri,Kirby Moore,Kirby Moore,https://www.youtube.com/watch?v=RmiSn-pgV5Y
Southeastern Conference,Oklahoma,Ben Arbuckle,Ben Arbuckle,https://www.youtube.com/watch?v=6n3jVJQdj90
Southeastern Conference,Ole Miss,Weis Jr.Charlie Weis Jr.,Weis Jr.Charlie Weis Jr.,https://therebelwalk.com/2025/12/ole-miss-offensive-coordinator-hot-board-seven-names-to-watch/
Southeastern Conference,South Carolina,Mike Shula,Mike Shula,https://247sports.com/college/south-carolina/article/south-carolina-football-shane-beamer-mike-furrey-interim-offensive-coordinator-260215748/
